Gene,SHAP_Importance
HSP90AA1,0.006595176516129868
NUMA1,0.006568766727541515
ATP1B1,0.006528489861084381
RPL37,0.006472421070793643
ASPN,0.006322782760398695
HLA-DPA1,0.006312646699625475
BTG2,0.006293260350139463
MX1,0.006246631205285667
RPS17,0.006228847147576743
LTF,0.006198474353950587
HLA-E,0.006198300161049702
NPM1,0.006066968521713534
KRT18,0.006062197629589718
ENO1,0.00605695100617595
TPM1,0.006034758288296871
CXCL9,0.005998633850249462
BMPR1B,0.005986520957594621
TIMP3,0.0059382609833119205
CALR,0.005835929776367266
GOLM1,0.005808316019829363
TBC1D9,0.0058075797712081115
ACTG1,0.005765704250952694
PERP,0.005748244910282665
PIGT,0.005722574726169114
EIF3CL,0.005694886447872705
CANX,0.005680987213263506
XIST,0.005676574191638793
PGR,0.005610278739395653
CD63,0.005550794136652258
CXCL13,0.005539638099726289
MARCKSL1,0.0055085352587047965
SCD,0.005503296872193459
RPL10A,0.005488742690959043
NUPR1,0.005480487069289666
RPL28,0.005478862121453858
LGALS3BP,0.005462853315113989
TUBB,0.005436038670304697
MUCL1,0.005363086362067406
CTNND1,0.005352053592232551
YWHAZ,0.005347966504268697
MYL12B,0.00534466549019271
ARF1,0.005337701603370988
EMP2,0.005315476753203256
RPS23,0.005309850171006474
APLP2,0.0052797090559033675
LGALS1,0.005242715302174474
MIF,0.005232929983789063
CTSK,0.005223188109521288
FAT1,0.005221578697892255
MSN,0.005210672608809546
PRKDC,0.0052074113061462415
HNRNPK,0.005193997508940811
TOMM20,0.00516462041901832
FKBP4,0.005161293197706982
GAPDH,0.005140749225829495
ITGB4,0.00513433913467452
DHCR24,0.005079961542414821
KRT7,0.005079285859301308
ESR1,0.005038653199299006
NDRG1,0.005032692113745725
LRP1,0.004970170746419172
C1R,0.004968868790219858
CCND1,0.004953824063559296
KIAA1324,0.004927675594663014
CCNI,0.0049072526098098024
STEAP4,0.004881088837612424
RPL26,0.004856019093442683
DCN,0.004833932097826618
ELOVL5,0.004783203782426426
UBA52,0.004754149388897986
S100A9,0.0047421003353520065
ASAH1,0.004722961140587358
PGK1,0.0046932110518901025
LASS2,0.004688110836741544
TACSTD2,0.004685319576092297
PALLD,0.004682536142154276
PDIA6,0.004662200458005828
HNRNPAB,0.004657200029242148
PI15,0.004654552168503869
JUN,0.004640585416782414
PSME1,0.004588114832085921
IFITM3,0.004584776540505118
RPL32,0.00457253518366997
SQSTM1,0.004527209239179228
RPL17,0.004520447414979572
